EmployeeID,MonthlyIncome,Department,CreatedBy,CreatedAt
1,35901,IT,ferhat.koc,7/3/2024
2,32996,Sales,elif.sahin,7/4/2024
3,32220,Sales,emre.tuna,7/3/2024
4,10853,HR,fatma.bolat,7/2/2024
5,19722,IT,serkan.ates,7/5/2024
6,21141,IT,dilan.erdem,7/7/2024
7,17636,IT,serkan.ates,7/7/2024
8,25496,Operations,fatma.bolat,7/6/2024
9,2811,Finance,yusuf.genc,7/7/2024
10,14690,IT,murat.demir,7/3/2024
11,29178,Operations,dilan.erdem,7/2/2024
12,21056,Finance,melis.kilic,7/3/2024
13,17623,Finance,emre.tuna,7/3/2024
14,9996,HR,okan.arar,7/6/2024
15,28790,IT,elif.sahin,7/7/2024
16,26420,Operations,emre.tuna,7/2/2024
17,33710,IT,buse.ozkan,7/2/2024
18,1012,HR,ozge.kaya,7/3/2024
19,36996,HR,murat.demir,7/1/2024
20,30779,IT,zeynep.yilmaz,7/5/2024
21,23073,Finance,fatma.bolat,7/6/2024
22,19483,Operations,emre.tuna,7/4/2024
23,9593,IT,serkan.ates,7/2/2024
24,21536,HR,serkan.ates,7/2/2024
25,19703,IT,fatma.bolat,7/1/2024
26,4953,Operations,ferhat.koc,7/6/2024
27,4447,Sales,elif.sahin,7/4/2024
28,31403,HR,ferhat.koc,7/2/2024
29,19344,HR,cem.kurt,7/6/2024
30,28920,IT,yusuf.genc,7/3/2024
31,704,Operations,buse.ozkan,7/5/2024
32,9647,Sales,ayse.kaya,7/4/2024
33,34939,Sales,ozge.kaya,7/3/2024
34,15026,Sales,melis.kilic,7/4/2024
35,2737,Sales,zeynep.yilmaz,7/2/2024
36,39518,Operations,cem.kurt,7/4/2024
37,25690,Finance,yusuf.genc,7/5/2024
38,36843,Operations,okan.arar,7/1/2024
39,4282,IT,serkan.ates,7/4/2024
40,31523,HR,ferhat.koc,7/3/2024
41,20965,Operations,elif.sahin,7/1/2024
42,10483,Operations,buse.ozkan,7/2/2024
43,24390,Finance,ozge.kaya,7/7/2024
44,22718,HR,serkan.ates,7/5/2024
45,19581,Operations,murat.demir,7/5/2024
46,13915,Finance,melis.kilic,7/7/2024
47,12696,Finance,ozge.kaya,7/2/2024
48,8985,Sales,melis.kilic,7/3/2024
49,37427,Finance,elif.sahin,7/2/2024
50,5381,HR,yusuf.genc,7/2/2024
51,2344,Finance,ayse.kaya,7/1/2024
52,18899,Operations,ferhat.koc,7/4/2024
53,32990,Operations,melis.kilic,7/4/2024
54,8267,Sales,okan.arar,7/6/2024
55,19626,Sales,ayse.kaya,7/4/2024
56,39985,Finance,ozge.kaya,7/3/2024
57,30936,Sales,buse.ozkan,7/5/2024
58,10577,Sales,zeynep.yilmaz,7/1/2024
59,16338,IT,ozge.kaya,7/6/2024
60,21990,Finance,melis.kilic,7/5/2024
61,6431,Finance,yusuf.genc,7/6/2024
62,6865,Finance,ferhat.koc,7/4/2024
63,19911,Finance,elif.sahin,7/3/2024
64,31150,Finance,fatma.bolat,7/5/2024
65,11302,Operations,zeynep.yilmaz,7/7/2024
66,10256,Finance,melis.kilic,7/7/2024
67,21723,HR,elif.sahin,7/7/2024
68,33118,Finance,melis.kilic,7/6/2024
69,9939,HR,buse.ozkan,7/5/2024
70,31663,HR,ferhat.koc,7/3/2024
71,5967,Finance,buse.ozkan,7/2/2024
72,38061,HR,buse.ozkan,7/4/2024
73,16500,Finance,ayse.kaya,7/5/2024
74,24669,IT,cem.kurt,7/4/2024
75,30250,Operations,ozge.kaya,7/3/2024
76,34245,HR,zeynep.yilmaz,7/2/2024
77,23213,Sales,emre.tuna,7/6/2024
78,37854,Finance,ozge.kaya,7/2/2024
79,29047,Sales,ozge.kaya,7/3/2024
80,38080,IT,elif.sahin,7/6/2024
81,33526,Operations,okan.arar,7/5/2024
82,13372,Operations,ozge.kaya,7/2/2024
83,30935,IT,ferhat.koc,7/5/2024
84,36723,HR,zeynep.yilmaz,7/6/2024
85,35134,HR,zeynep.yilmaz,7/3/2024
86,16685,HR,zeynep.yilmaz,7/4/2024
87,17764,Sales,cem.kurt,7/1/2024
88,7790,HR,zeynep.yilmaz,7/1/2024
89,24302,Operations,buse.ozkan,7/1/2024
90,32077,Sales,elif.sahin,7/7/2024
91,32074,Operations,emre.tuna,7/6/2024
92,16734,Sales,ozge.kaya,7/1/2024
93,36039,Operations,cem.kurt,7/1/2024
94,8888,Finance,emre.tuna,7/2/2024
95,16971,HR,ferhat.koc,7/7/2024
96,3743,Finance,ferhat.koc,7/7/2024
97,30632,Finance,murat.demir,7/4/2024
98,18438,Finance,cem.kurt,7/3/2024
99,23600,Operations,buse.ozkan,7/5/2024
100,28556,Sales,emre.tuna,7/7/2024
101,26929,Finance,melis.kilic,7/7/2024
102,30666,IT,ayse.kaya,7/6/2024
103,1007,Sales,serkan.ates,7/6/2024
104,29729,HR,fatma.bolat,7/1/2024
105,10382,Finance,yusuf.genc,7/5/2024
106,35419,Finance,murat.demir,7/2/2024
107,34028,IT,murat.demir,7/3/2024
108,24755,IT,ozge.kaya,7/2/2024
109,20303,Sales,emre.tuna,7/2/2024
110,29000,Operations,ozge.kaya,7/2/2024
111,12219,HR,zeynep.yilmaz,7/2/2024
112,28139,Finance,fatma.bolat,7/1/2024
113,16510,Operations,fatma.bolat,7/4/2024
114,2113,HR,ferhat.koc,7/2/2024
115,26859,HR,ayse.kaya,7/6/2024
116,17268,Sales,elif.sahin,7/7/2024
117,26280,HR,murat.demir,7/3/2024
118,8323,Operations,cem.kurt,7/1/2024
119,9312,Finance,elif.sahin,7/4/2024
120,5782,Operations,murat.demir,7/2/2024
121,7620,Finance,cem.kurt,7/4/2024
122,20189,HR,melis.kilic,7/7/2024
123,13826,HR,ozge.kaya,7/6/2024
124,2586,IT,fatma.bolat,7/1/2024
125,33910,Finance,zeynep.yilmaz,7/2/2024
126,34239,IT,ayse.kaya,7/3/2024
127,32325,IT,dilan.erdem,7/7/2024
128,28048,IT,dilan.erdem,7/2/2024
129,32682,Finance,yusuf.genc,7/3/2024
130,1311,Sales,elif.sahin,7/1/2024
131,27956,Operations,emre.tuna,7/5/2024
132,14085,Finance,ferhat.koc,7/6/2024
133,18407,Operations,dilan.erdem,7/1/2024
134,28825,IT,dilan.erdem,7/2/2024
135,27338,Sales,ayse.kaya,7/2/2024
136,19255,IT,yusuf.genc,7/2/2024
137,16310,Finance,dilan.erdem,7/3/2024
138,38582,Sales,ozge.kaya,7/3/2024
139,3179,Sales,dilan.erdem,7/4/2024
140,29042,IT,melis.kilic,7/6/2024
141,10907,Finance,ferhat.koc,7/1/2024
142,21124,Operations,ferhat.koc,7/6/2024
143,12988,Operations,zeynep.yilmaz,7/7/2024
144,18001,Finance,serkan.ates,7/1/2024
145,8070,Operations,elif.sahin,7/1/2024
146,8240,Finance,fatma.bolat,7/7/2024
147,7615,HR,buse.ozkan,7/1/2024
148,10430,Operations,ayse.kaya,7/3/2024
149,1185,Finance,cem.kurt,7/1/2024
150,34077,Sales,elif.sahin,7/5/2024
151,31724,Finance,zeynep.yilmaz,7/6/2024
152,3178,HR,fatma.bolat,7/3/2024
153,16124,Finance,cem.kurt,7/2/2024
154,30722,IT,dilan.erdem,7/1/2024
155,30191,Operations,murat.demir,7/5/2024
156,21993,HR,serkan.ates,7/6/2024
157,7557,Finance,zeynep.yilmaz,7/6/2024
158,5041,Operations,ayse.kaya,7/4/2024
159,30730,Finance,zeynep.yilmaz,7/7/2024
160,30516,Finance,ferhat.koc,7/3/2024
161,19177,Operations,emre.tuna,7/3/2024
162,19107,HR,yusuf.genc,7/1/2024
163,39481,Operations,ayse.kaya,7/5/2024
164,27465,Sales,elif.sahin,7/1/2024
165,22791,Finance,serkan.ates,7/6/2024
166,39607,Finance,ayse.kaya,7/1/2024
167,33768,Finance,okan.arar,7/1/2024
168,38805,HR,ozge.kaya,7/6/2024
169,11846,HR,buse.ozkan,7/7/2024
170,10469,Operations,serkan.ates,7/1/2024
171,7798,IT,serkan.ates,7/5/2024
172,31571,Sales,ayse.kaya,7/3/2024
173,5338,IT,okan.arar,7/4/2024
174,34199,Finance,ayse.kaya,7/5/2024
175,19138,Finance,ozge.kaya,7/4/2024
176,25969,Finance,buse.ozkan,7/6/2024
177,28608,IT,ozge.kaya,7/3/2024
178,28741,HR,cem.kurt,7/4/2024
179,23269,HR,ayse.kaya,7/1/2024
180,21080,Operations,dilan.erdem,7/4/2024
181,30281,HR,ozge.kaya,7/3/2024
182,5346,Finance,buse.ozkan,7/2/2024
183,5141,Finance,murat.demir,7/5/2024
184,32586,Finance,cem.kurt,7/6/2024
185,7465,Sales,okan.arar,7/7/2024
186,11075,Operations,ferhat.koc,7/2/2024
187,6217,Finance,okan.arar,7/7/2024
188,3488,Finance,emre.tuna,7/2/2024
189,14688,Operations,yusuf.genc,7/7/2024
190,992,Operations,zeynep.yilmaz,7/7/2024
191,32538,Operations,zeynep.yilmaz,7/1/2024
192,5909,Finance,zeynep.yilmaz,7/5/2024
193,22146,Sales,ozge.kaya,7/3/2024
194,6051,HR,dilan.erdem,7/2/2024
195,24457,HR,zeynep.yilmaz,7/2/2024
196,18905,Operations,ferhat.koc,7/6/2024
197,34739,HR,cem.kurt,7/3/2024
198,24412,Finance,dilan.erdem,7/5/2024
199,1879,Operations,emre.tuna,7/4/2024
200,2642,Operations,murat.demir,7/3/2024
201,17950,Operations,fatma.bolat,7/5/2024
202,20736,Operations,elif.sahin,7/5/2024
203,5753,Operations,fatma.bolat,7/5/2024
204,9467,IT,melis.kilic,7/1/2024
205,7086,Sales,melis.kilic,7/1/2024
206,20685,Finance,melis.kilic,7/5/2024
207,37999,HR,ozge.kaya,7/6/2024
208,10541,Sales,okan.arar,7/1/2024
209,1885,Operations,yusuf.genc,7/6/2024
210,27898,Operations,murat.demir,7/2/2024
211,20474,Finance,ferhat.koc,7/4/2024
212,19688,Operations,okan.arar,7/4/2024
213,33781,Sales,emre.tuna,7/4/2024
214,14897,IT,melis.kilic,7/3/2024
215,26469,Sales,okan.arar,7/1/2024
